PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3sPM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plus/Minus,FP
Tre Mann,CHA,CHA vs. MIL,11/12/2025,W,25,13,5,10,50,3,7,42.9,0,0,-,0,1,1,3,0,1,3,3,-6,18.7
KJ Simpson,CHA,CHA vs. MIL,10,W,9,2,1,4,25,0,2,0,0,0,-,0,2,2,2,0,0,0,0,-11,7.4
Jalen Smith,CHI,CHI @ DET,11/12/2025,L,14,9,3,8,37.5,3,5,60,0,0,-,1,3,4,0,0,0,0,2,-7,13.8
AJ Green,MIL,MIL @ CHA,11/12/2025,L,27,3,1,4,25,1,3,33.3,0,0,-,0,3,3,2,0,0,0,2,-9,9.6
Gary Harris,MIL,MIL @ CHA,11/12/2025,L,6,0,0,0,-,0,0,-,0,0,-,0,0,0,1,1,0,0,0,9,4.5
Ryan Rollins,MIL,MIL @ CHA,11/12/2025,L,32,25,10,15,66.7,4,6,66.7,1,2,50,2,3,5,6,1,0,2,3,-5,41
Kevin Huerter,CHI,CHI @ DET,11/12/2025,L,27,20,10,17,58.8,0,4,0,0,1,0,1,1,2,2,2,0,2,5,-5,29.4
Tre Jones,CHI,CHI @ DET,11/12/2025,L,30,11,3,6,50,0,0,-,5,8,62.5,0,2,2,5,3,0,2,1,-12,27.9
Julian Phillips,CHI,CHI @ DET,11/12/2025,L,4,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-2,1.2
Kyle Kuzma,MIL,MIL @ CHA,11/12/2025,L,30,8,3,12,25,0,2,0,2,4,50,1,2,3,4,1,1,1,2,-12,22.6
Miles Bridges,CHA,CHA vs. MIL,11/12/2025,W,33,20,7,19,36.8,2,10,20,4,4,100,1,5,6,6,1,0,3,2,15,36.2
Mark Sears,MIL,MIL @ CHA,11/12/2025,L,6,7,2,3,66.7,2,3,66.7,1,2,50,0,0,0,1,0,0,1,1,7,7.5
