Player Name,Position,Team,Slate Type,Date,Role,Salary,Draftable ID,Projected FP,Combined FP,Value,Implied FP,Points,Rebounds,Assists,Threes,Blocks,Steals,Turnovers,PointsReboundsAssists,PointsRebounds,PointsAssists,ReboundsAssists,FreeThrowsAttempts,FreeThrowsMade,FieldGoals,AssistsQ1,ReboundsQ1,PointsQ1,BlocksSteals,Fantasy Score,Headshot URL,Game Start Time,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Game Start Time (DRAFTTABLE),Player,Opp,AST Avg,BLK Avg,DRB Avg,FG Avg,FGA Avg,FPTS Avg,MIN Avg,ORB Avg,PTS Avg,REB Avg,STL Avg,TO Avg,DraftKings,FanDuel,PrizePicks,Underdog,Fav,Spread,O/U,Player Salary,Player Image,Tournament,EST. Return Date,Injury Status,Comment,Starter,Opp,PrizePicks,MIN Avg,DvP Projection,DVP Rank,Opp +/-,Average Projected,DVP Adjusted,Total Projection,Underdog Line,NBA Fantasy Score
Victor Wembanyama,C,SAS,Classic,Fri May 22 2026 01:00:00 GMT-0500 (Central Daylight Time),"Classic 5/21 8:00PM (Thu-Fri), 2 Games",11000,43109368,58.39,57.85,5.31,33,24.9798,13.9534,3.2088,1.5918,3.4818,1.0242,,42.94,39.1445,28.4487,17.8675,7.434,6.3518,8.3266,0.5752,3.4447,5.7882,4.5639,,https://dkn.gs/sports/images/nba/players/50/713754.png,n/a,OKC @ SAS,Thunder @ Spurs,N/A,N/A,NBC/Peacock,5/22/2026,Victor Wembanyama,OKC,3.5,3.5,,,,,,,24.92,14.32,1.05,,58.67,61.004,61.004,61.004,Yes,-2,217,11000,https://dkn.gs/sports/images/nba/players/50/713754.png, @ ,,,,Yes,OKC,61.004,0,0,,0,0,0,60.06802,59.15,60.06802
Shai Gilgeous-Alexander,PG,OKC,Classic,Fri May 22 2026 01:00:00 GMT-0500 (Central Daylight Time),"Classic 5/21 8:00PM (Thu-Fri), 2 Games",10000,43109370,52.86,52.38,5.29,30,30.6,3.9861,8.1054,1.4115,0.5668,1.4106,,42.9693,35.0432,39.6319,12.4425,8.5612,7.0035,10.6428,2.175,1.0182,7.8771,2.251,,https://dkn.gs/sports/images/nba/players/50/33258.png,n/a,OKC @ SAS,Thunder @ Spurs,N/A,N/A,NBC/Peacock,5/22/2026,Shai Gilgeous-Alexander,SAS,7.9,0.5,,,,,,,30.76,4.5,1.5,,52.235,54.01,54.01,54.01,No,2,217,10000,https://dkn.gs/sports/images/nba/players/50/33258.png, @ ,,,,,SAS,54.01,0,0,,0,0,0,54.24539,50.55,54.24539
Karl-Anthony Towns,CPT,NYK,Showdown Captain Mode,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),Showdown Captain Mode 5/21 8:00PM (CLE @ NYK),15000,43109638,43.15,43.19,2.88,45,17.3145,11.4534,4.9481,1.221,0.5721,0.6151,,33.9749,29.0359,22.419,16.2294,4.4523,3.7814,5.9409,1.4304,2.6695,3.7604,1.6569,,https://dkn.gs/sports/images/nba/players/50/33194.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,Karl-Anthony Towns,CLE,4.79,0.5,8.3,7,14,37.4,35,2.7,17.5,11.22,0.5,2.5,40.96,38.649,38.649,38.649,Yes,-5.5,215.2,8600,https://dkn.gs/sports/images/nba/players/50/33194.png, @ ,,,,Yes,CLE,38.649,35,39.353125,12,0,45.81612903,45.81612903,45.03568935,40.45,43.47481
Karl-Anthony Towns,CPT,NYK,2nd Half Showdown Captain Mode,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),2nd Half Showdown Captain Mode 5/21 9:00PM (CLE @ NYK),15000,43109710,43.15,43.19,2.88,45,17.3145,11.4534,4.9481,1.221,0.5721,0.6151,,33.9749,29.0359,22.419,16.2294,4.4523,3.7814,5.9409,1.4304,2.6695,3.7604,1.6569,,https://dkn.gs/sports/images/nba/players/50/33194.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,Karl-Anthony Towns,CLE,4.79,0.5,8.3,7,14,37.4,35,2.7,17.5,11.22,0.5,2.5,40.96,38.649,38.649,38.649,Yes,-5.5,215.2,8600,https://dkn.gs/sports/images/nba/players/50/33194.png, @ ,,,,Yes,CLE,38.649,35,39.353125,12,0,45.81612903,45.81612903,45.03568935,40.45,43.47481
Karl-Anthony Towns,PF/C,NYK,Showdown Captain Mode,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),Showdown Captain Mode 5/21 8:00PM (CLE @ NYK),10000,43109602,43.15,42.87,4.32,30,17.3145,11.4534,4.9481,1.221,0.5721,0.6151,,33.9749,29.0359,22.419,16.2294,4.4523,3.7814,5.9409,1.4304,2.6695,3.7604,1.6569,,https://dkn.gs/sports/images/nba/players/50/33194.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,Karl-Anthony Towns,CLE,4.79,0.5,8.3,7,14,37.4,35,2.7,17.5,11.22,0.5,2.5,40.96,38.649,38.649,38.649,Yes,-5.5,215.2,8600,https://dkn.gs/sports/images/nba/players/50/33194.png, @ ,,,,Yes,CLE,38.649,35,39.353125,12,0,45.81612903,45.81612903,45.03568935,40.45,43.47481
Karl-Anthony Towns,PF/C,NYK,2nd Half Showdown Captain Mode,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),2nd Half Showdown Captain Mode 5/21 9:00PM (CLE @ NYK),10000,43109674,43.15,42.87,4.32,30,17.3145,11.4534,4.9481,1.221,0.5721,0.6151,,33.9749,29.0359,22.419,16.2294,4.4523,3.7814,5.9409,1.4304,2.6695,3.7604,1.6569,,https://dkn.gs/sports/images/nba/players/50/33194.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,Karl-Anthony Towns,CLE,4.79,0.5,8.3,7,14,37.4,35,2.7,17.5,11.22,0.5,2.5,40.96,38.649,38.649,38.649,Yes,-5.5,215.2,8600,https://dkn.gs/sports/images/nba/players/50/33194.png, @ ,,,,Yes,CLE,38.649,35,39.353125,12,0,45.81612903,45.81612903,45.03568935,40.45,43.47481
Karl-Anthony Towns,PF/C,NYK,Classic,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),"Classic 5/21 8:00PM (Thu-Fri), 2 Games",8600,43109376,43.15,42.79,5.02,25.8,17.3145,11.4534,4.9481,1.221,0.5721,0.6151,,33.9749,29.0359,22.419,16.2294,4.4523,3.7814,5.9409,1.4304,2.6695,3.7604,1.6569,,https://dkn.gs/sports/images/nba/players/50/33194.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,Karl-Anthony Towns,CLE,4.79,0.5,8.3,7,14,37.4,35,2.7,17.5,11.22,0.5,2.5,40.96,38.649,38.649,38.649,Yes,-5.5,215.2,8600,https://dkn.gs/sports/images/nba/players/50/33194.png, @ ,,,,Yes,CLE,38.649,35,39.353125,12,0,45.81612903,45.81612903,45.03568935,40.45,43.47481
Jalen Brunson,CPT,NYK,Showdown Captain Mode,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),Showdown Captain Mode 5/21 8:00PM (CLE @ NYK),15600,43109637,41.95,42.05,2.69,46.8,27.324,2.9872,6.1282,2.5275,0.1698,0.6144,2.554,37.1628,30.5,34.2427,9.3917,6.7407,5.6972,9.3708,1.6833,0.5974,8.0297,,,https://dkn.gs/sports/images/nba/players/50/33006.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,Jalen Brunson,CLE,6.5,0.5,2.8,9.6,20.4,43,39,0.4,27.5,2.92,0.5,2.5,41.65,41.254,41.254,41.254,Yes,-5.5,215.2,8700,https://dkn.gs/sports/images/nba/players/50/33006.png, @ ,,,,Yes,CLE,41.254,39,39.219375,16,0.1784482759,45.084,45.26244828,43.45438276,40.45,40.0167
Jalen Brunson,CPT,NYK,2nd Half Showdown Captain Mode,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),2nd Half Showdown Captain Mode 5/21 9:00PM (CLE @ NYK),15600,43109709,41.95,42.05,2.69,46.8,27.324,2.9872,6.1282,2.5275,0.1698,0.6144,2.554,37.1628,30.5,34.2427,9.3917,6.7407,5.6972,9.3708,1.6833,0.5974,8.0297,,,https://dkn.gs/sports/images/nba/players/50/33006.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,Jalen Brunson,CLE,6.5,0.5,2.8,9.6,20.4,43,39,0.4,27.5,2.92,0.5,2.5,41.65,41.254,41.254,41.254,Yes,-5.5,215.2,8700,https://dkn.gs/sports/images/nba/players/50/33006.png, @ ,,,,Yes,CLE,41.254,39,39.219375,16,0.1784482759,45.084,45.26244828,43.45438276,40.45,40.0167
Jalen Brunson,PG,NYK,Showdown Captain Mode,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),Showdown Captain Mode 5/21 8:00PM (CLE @ NYK),10400,43109601,41.95,41.72,4.03,31.2,27.324,2.9872,6.1282,2.5275,0.1698,0.6144,2.554,37.1628,30.5,34.2427,9.3917,6.7407,5.6972,9.3708,1.6833,0.5974,8.0297,,,https://dkn.gs/sports/images/nba/players/50/33006.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,Jalen Brunson,CLE,6.5,0.5,2.8,9.6,20.4,43,39,0.4,27.5,2.92,0.5,2.5,41.65,41.254,41.254,41.254,Yes,-5.5,215.2,8700,https://dkn.gs/sports/images/nba/players/50/33006.png, @ ,,,,Yes,CLE,41.254,39,39.219375,16,0.1784482759,45.084,45.26244828,43.45438276,40.45,40.0167
